ID,Internal_id,germinated,total,non_germinated,rate,Source_name,name,Parents_id,Amplification_round_starting,Admixture_internal,Admixture_as_database,Latitude,Longitude,iso_alpha,Temperature,Data_germination_filtered_for_viability,sequencer,short_name,Collector,Accession_ID,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
10005,2021-0694,48,48,0,1,A. thaliana,ICE63 / Copac-1,2017-264,9.2021,Central Europe,central_europe,46.11,21.95,ROU,20degree_LD,NA,MPI,,,CS76420,10.2,9.9,3.1,766.2,26.5,-4.8,31.3,18.1,1.3,19.6,-0.1,639,92,36,30,232,115,218,131
10017,2021-0720,93,93,0,1,A. thaliana,ICE21 / Petro-1,2017-263,9.2021,Central Europe,central_europe,44.34,21.46,SRB,20degree_LD,NA,MPI,,,CS76370,10.8,9.8,3.2,739.1,27.3,-3.3,30.6,18.2,2.5,19.8,0.8,671,86,42,24,231,130,208,142
1002,2021-0682,54,54,0,1,A. thaliana,Ale-Stenar-64-24,2017-351,9.2021,Sweden,south_sweden,55.38,14.05,SWE,20degree_LD,NA,GMI,Ales Stenar,Jon Ågren,CS76654,7.9,5.5,2.4,610.8,20,-2.2,22.2,15.4,2.4,15.9,0.5,585,63,32,21,180,103,168,136
1061,2021-0691,65,65,0,1,A. thaliana,Brösarp-11-135,2017-352,9.2021,Sweden,south_sweden,55.72,14.13,SWE,20degree_LD,NA,GMI,Brösarp,Jon Ågren,CS76727,7.4,5.7,2.5,615,19.7,-2.8,22.5,14.9,1.9,15.5,0,623,69,35,21,191,111,179,147
1062,2021-0609,62,62,0,1,A. thaliana,Brösarp-15-138,2017-153,9.2021,Sweden,south_sweden,55.72,14.13,SWE,20degree_LD,NA,GMI,Brösarp,Jon Ågren,CS76728,7.4,5.7,2.5,615,19.7,-2.8,22.5,14.9,1.9,15.5,0,623,69,35,21,191,111,179,147
1063,2021-0610,59,59,0,1,A. thaliana,Brösarp-21-140,2017-154,9.2021,Sweden,south_sweden,55.72,14.13,SWE,20degree_LD,NA,GMI,Brösarp,Jon Ågren,CS76729,7.4,5.7,2.5,615,19.7,-2.8,22.5,14.9,1.9,15.5,0,623,69,35,21,191,111,179,147
1066,2021-0611,45,45,0,1,A. thaliana,Brösarp-34-145,2017-155,9.2021,Sweden,south_sweden,55.72,14.13,SWE,20degree_LD,NA,GMI,Brösarp,Jon Ågren,CS76730,7.4,5.7,2.5,615,19.7,-2.8,22.5,14.9,1.9,15.5,0,623,69,35,21,191,111,179,147
108,2021-0788,68,68,0,1,A. thaliana,LDV-18,"108  (Almudena Molla Morales, Austria)",9.2021,Western Europe,western_europe,48.52,-4.07,FRA,20degree_LD,NA,Monsanto,LDV,Valerie Le Corre,CS77013,10.9,6.3,3.7,379.7,20,3.3,16.7,7.1,15.6,15.8,6.2,1045,133,46,31,376,160,187,361
115930,2021-0757,71,71,0,1,A. thaliana,All1-2,2017-291,9.2021,Western Europe,western_europe,45.26,1.48,FRA,20degree_LD,NA,NA,NA,NA,NA,12.1,10.6,4.1,548.6,26.3,0.6,25.7,5.9,19.1,19.1,4.9,896,92,55,12,251,205,205,243
115932,2021-0758,55,55,0,1,A. thaliana,All1-4,2017-292,9.2021,Western Europe,western_europe,45.26,1.48,FRA,20degree_LD,NA,NA,NA,NA,NA,12.1,10.6,4.1,548.6,26.3,0.6,25.7,5.9,19.1,19.1,4.9,896,92,55,12,251,205,205,243
